year,name,affiliation,country,role,Accomodation Chair,Exhibition Chair,Finance Chair,Local Arrangement Chair,Local Organization Chair,Local Organization Committee,Organization Chair,PacificVAST Workshop Chair,Paper Chair,Poster Chair,Program Chair,Program Committee,Publication Chair,Publicity Chair,Registration Chair,Sponsorship Chair,Steering Committee,Student Volunteer Chair,Symposium Chair,Visual Storytelling Contest Chair,Visualization Notes Chair,Visualization Notes Committee,Webmaster & Design Chair
2014,Bettina Speckmann,Technische Universiteit Eindhoven,NL,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Bettina Speckmann,Technische Universiteit Eindhoven,NL,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Bettina Speckmann,Technische Universiteit Eindhoven,NL,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Bingfeng Zhou,Peking University,CN,Publication Chair,,,,,,,,,,,,,1,,,,,,,,,,
2014,Bingfeng Zhou,Peking University,CN,Poster Chair,,,,,,,,,,1,,,,,,,,,,,,,
2014,Bingfeng Zhou,Peking University,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2010,Bing-Yu Chen,National Taiwan University,TW,Organization Chair,,,,,,,1,,,,,,,,,,,,,,,,
2012,Bing-Yu Chen,National Taiwan University,TW,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Bin-Yu Chen,National Taiwan University,TW,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Bin-Yu Chen,National Taiwan University,TW,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Bohyoung Kim,Seoul National University,KR,Local Organization Committee,,,,,,1,,,,,,,,,,,,,,,,,
2011,Bongshin Lee,Microsoft Research,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Bongshin Lee,Microsoft Research,US,Poster Chair,,,,,,,,,,1,,,,,,,,,,,,,
2012,Bongshin Lee,Microsoft Research,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Bongshin Lee,Microsoft Research,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Bongshin Lee,Microsoft Research,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Bongshin Lee,Microsoft Research,US,Symposium Chair,,,,,,,,,,,,,,,,,,,1,,,,
2016,Bor-Shen Lin,National Taiwan University of Science and Technology,TW,Organization Chair,,,,,,,1,,,,,,,,,,,,,,,,
2016,Bum Chul Kwon,University of Konstanz,DE,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Bum Chul Kwon,IBM T.J. Watson Research Center,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Cao Nan,IBM T.J. Watson Research Center,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Cao Nan,IBM Research,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Carlos Correa,"University of California, Davis",US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Carlos Correa,Lawrence Livermore National Laboratory,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Carlos Correa,Lawrence Livermore National Laboratory,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Carlos Correa,Lawrence Livermore National Laboratory,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2008,Chaoli Wang,"University of California, Davis",US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Chaoli Wang,"University of California, Davis",US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Chaoli Wang,Michigan Technological University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Chaoli Wang,Michigan Technological University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Chaoli Wang,Michigan Technological University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Chaoli Wang,Michigan Technological University,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Chaoli Wang,University of Notre Dame,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Chaoli Wang,University of Notre Dame,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Chaoli Wang,University of Notre Dame,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Chaoli Wang,University of Notre Dame,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2008,Chaomei Chen,Drexel University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Chaomei Chen,Drexel University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Charl Botha,Delft University of Technology,NL,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Charles Hansen,University of Utah,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Charles Hansen,University of Utah,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Charles Hansen,University of Utah,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Chih-Yuan Yao,National Taiwan University of Science and Technology,TW,Organization Chair,,,,,,,1,,,,,,,,,,,,,,,,
2011,Chi-Wing Fu,Nan Yang Technological University,SG,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Chi-Wing Fu,Nan Yang Technological University,SG,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Chi-Wing Philip Fu,Chinese University of Hong Kong,HK,Poster Chair,,,,,,,,,,1,,,,,,,,,,,,,
2015,Chris Muelder,"University of California, Davis",US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Chris Muelder,"University of California, Davis",US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Chris Muelder,"University of California, Davis",US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2008,Chris North,Virginia Tech,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Chris North,Virginia Tech,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2008,Chris Weaver,Penn State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Chris Weaver,Penn State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Chris Weaver,University of Oklahoma,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Christian Duncan,Quinnipiac University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Christian Duncan,Quinnipiac University,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Christian Duncan,Quinnipiac University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Christian Duncan,Quinnipiac University,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Christian Duncan,Quinnipiac University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Christof Rezk-Salama,Mediadesign University of Applied Sciences,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Christof Rezk-Salama,Mediadesign University of Applied Sciences,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Christoph Garth,"University of California, Davis",US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
